campaign.resourceName,campaign.name,adGroup.resourceName,adGroup.name,metrics.clicks,metrics.conversions,metrics.ctr,metrics.impressions,adGroupAd.resourceName,adGroupAd.ad.resourceName,adGroupAd.ad.id,asset.resourceName,asset.textAsset.text,asset.id,adGroupAdAssetView.resourceName,adGroupAdAssetView.fieldType,adGroupAdAssetView.performanceLabel,asset.name,utm_campaign_norm,roi_priority_weight
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,65,0,0.4744525547445255,137,customers/2565189582/adGroupAds/175488384442~778278987755,customers/2565189582/ads/778278987755,778278987755,customers/2565189582/assets/297834518145,"Thousands of vacation rental owners use Hostfully to automate, save time, increase revenue",297834518145,customers/2565189582/adGroupAdAssetViews/175488384442~778278987755~297834518145~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596189,ca-us_brand_exact,13,0,0.10077519379844961,129,customers/2565189582/adGroupAds/193498596189~798968901280,customers/2565189582/ads/798968901280,798968901280,customers/2565189582/assets/297834518112,Save 4 Hours Per Day,297834518112,customers/2565189582/adGroupAdAssetViews/193498596189~798968901280~297834518112~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810883,au-uk_brand_phrase,22,0,0.1732283464566929,127,customers/2565189582/adGroupAds/193560810883~799258748291,customers/2565189582/ads/799258748291,799258748291,customers/2565189582/assets/337426327258,Choose the holiday letting software that gives you the most flexibility at the best price.,337426327258,customers/2565189582/adGroupAdAssetViews/193560810883~799258748291~337426327258~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810923,au-uk_brand_exact,24,2,0.1889763779527559,127,customers/2565189582/adGroupAds/193560810923~799149197700,customers/2565189582/ads/799149197700,799149197700,customers/2565189582/assets/337426327264,"Thousands of holiday letting owners use Hostfully to automate, save time, increase revenue",337426327264,customers/2565189582/adGroupAdAssetViews/193560810923~799149197700~337426327264~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,4,1,0.031746031746031744,126,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/58894961283,Vacation Rental Software,58894961283,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~58894961283~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,46,0,0.38333333333333336,120,customers/2565189582/adGroupAds/175488384442~778278987755,customers/2565189582/ads/778278987755,778278987755,customers/2565189582/assets/297834518103,Starting at $15/property,297834518103,customers/2565189582/adGroupAdAssetViews/175488384442~778278987755~297834518103~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596189,ca-us_brand_exact,70,1.5,0.5882352941176471,119,customers/2565189582/adGroupAds/193498596189~798968901280,customers/2565189582/ads/798968901280,798968901280,customers/2565189582/assets/341111433355,Property Managers & Owners,341111433355,customers/2565189582/adGroupAdAssetViews/193498596189~798968901280~341111433355~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23619221250,au-uk_brand_search,customers/2565189582/adGroups/193560810883,au-uk_brand_phrase,11,0,0.09243697478991597,119,customers/2565189582/adGroupAds/193560810883~799258748291,customers/2565189582/ads/799258748291,799258748291,customers/2565189582/assets/297834518124,Book A Free Demo Today,297834518124,customers/2565189582/adGroupAdAssetViews/193560810883~799258748291~297834518124~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,54,0,0.46956521739130436,115,customers/2565189582/adGroupAds/175488384442~730292443612,customers/2565189582/ads/730292443612,730292443612,customers/2565189582/assets/259466444259,Short Term Rental Software,259466444259,customers/2565189582/adGroupAdAssetViews/175488384442~730292443612~259466444259~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596229,ca-us_brand_phrase,27,1.75,0.23478260869565218,115,customers/2565189582/adGroupAds/193498596229~799044719174,customers/2565189582/ads/799044719174,799044719174,customers/2565189582/assets/259466444259,Short Term Rental Software,259466444259,customers/2565189582/adGroupAdAssetViews/193498596229~799044719174~259466444259~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
