campaign_id,platform,platform_campaign_id,current_daily_budget,spend_mtd,leads_mtd,clicks_mtd,impressions_mtd,is_live,campaign_budget_id
Search - Acquisition - FR,google,23615139764,15.0,0.0,0.0,0.0,0.0,False,15399448955
ca+us_guidebooks_search_demo,google,23618841317,53.57,0.0,0.0,0.0,0.0,False,15406050369
au-uk_brand_search,google,23619221250,90.91,1077.840893,5.0,231.0,2182.0,False,15415706824
ca-us_pms_pmax,google,23619267350,400.0,7427.411082,8.0,2114.0,55444.0,True,15410981938
au-uk_pms_pmax,google,23619357777,472.72,2455.063502,2.0,716.0,11349.0,False,15415810771
br_brand_search,google,23620918556,22.72,0.0,0.0,0.0,0.0,False,15413129428
mx_pms_search_website-conv,google,23620932365,136.36,0.0,0.0,0.0,0.0,False,15403420481
ca-us_brand_search,google,23622401230,250.0,3736.18557,25.75,877.0,4194.0,True,15410966761
ca-us_pms_search,google,23657942340,100.0,1411.865023,2.0,80.0,2444.0,False,15433738517
au-uk_pms_search,google,23658078636,20.0,1293.472246,1.0,72.0,1749.0,False,15438670050
