image_id,filename,relative_path,width_px,height_px,aspect_ratio,orientation,format_class,creative_family_guess,dominant_motif_guess,headline_style_guess,cta_style_guess,palette_guess,status
img_027,1080x1350___SafeZone-12-4d1037ea-6cb4-49f8-aa3d-2c7de0f9efb8.png,00_source_images/1080x1350___SafeZone-12-4d1037ea-6cb4-49f8-aa3d-2c7de0f9efb8.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_028,1080x1350___SafeZone-13-30fcc5fc-a9c4-49bf-949d-89aea007945f.png,00_source_images/1080x1350___SafeZone-13-30fcc5fc-a9c4-49bf-949d-89aea007945f.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_029,1080x1350___SafeZone-14-753bbbc5-8fa7-4011-8fc7-6645bebe4190.png,00_source_images/1080x1350___SafeZone-14-753bbbc5-8fa7-4011-8fc7-6645bebe4190.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_030,1080x1350___SafeZone-15-1d050d80-431d-49b7-8c5e-e7f42add588c.png,00_source_images/1080x1350___SafeZone-15-1d050d80-431d-49b7-8c5e-e7f42add588c.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_031,1080x1350___SafeZone-16-c991905d-671b-467d-a94d-bdde7b8b34cf.png,00_source_images/1080x1350___SafeZone-16-c991905d-671b-467d-a94d-bdde7b8b34cf.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_032,1080x1350___SafeZone-17-980e7bc7-3944-4b81-b459-a52d1fd25132.png,00_source_images/1080x1350___SafeZone-17-980e7bc7-3944-4b81-b459-a52d1fd25132.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_033,1080x1350___SafeZone-18-fc6a0b5f-fb9c-44e9-b04f-558611871cd0.png,00_source_images/1080x1350___SafeZone-18-fc6a0b5f-fb9c-44e9-b04f-558611871cd0.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_034,1080x1350___SafeZone-19-f1b14f54-de20-4f9f-bb7b-0951917c1574.png,00_source_images/1080x1350___SafeZone-19-f1b14f54-de20-4f9f-bb7b-0951917c1574.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_035,1080x1350___SafeZone-2-fbbc4a3e-af5d-421d-84b0-1b6b3837fad4.png,00_source_images/1080x1350___SafeZone-2-fbbc4a3e-af5d-421d-84b0-1b6b3837fad4.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_036,1080x1350___SafeZone-3-8c64ec03-c25c-412e-9879-89e3ac19d05c.png,00_source_images/1080x1350___SafeZone-3-8c64ec03-c25c-412e-9879-89e3ac19d05c.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
